time,Outdoor AQI,Dining Hall D2 AQI,Campus Center AQI,Hazardous,Very Unheathy,Unhealthy,Unhealthy for Sensitive Groups,Moderate,Good
2023-09-29 23:00,157,57,68,0,300,200,150,100,50
2023-09-30 00:00,158,57,70,0,300,200,150,100,50
2023-09-30 01:00,159,58,72,0,300,200,150,100,50
2023-09-30 02:00,161,57,72,0,300,200,150,100,50
2023-09-30 03:00,161,57,71,0,300,200,150,100,50
2023-09-30 04:00,160,57,70,0,300,200,150,100,50
2023-09-30 05:00,159,57,71,0,300,200,150,100,50
2023-09-30 06:00,157,56,62,0,300,200,150,100,50
2023-09-30 07:00,159,56,58,0,300,200,150,100,50
2023-09-30 08:00,156,58,58,0,300,200,150,100,50
2023-09-30 09:00,160,62,61,0,300,200,150,100,50
2023-09-30 10:00,157,63,63,0,300,200,150,100,50
2023-09-30 11:00,157,68,62,0,300,200,150,100,50
2023-09-30 12:00,156,93,61,0,300,200,150,100,50
2023-09-30 13:00,155,89,63,0,300,200,150,100,50
2023-09-30 14:00,156,89,63,0,300,200,150,100,50
2023-09-30 15:00,153,78,61,0,300,200,150,100,50
2023-09-30 16:00,153,60,61,0,300,200,150,100,50
2023-09-30 17:00,157,64,59,0,300,200,150,100,50
2023-09-30 18:00,158,82,60,0,300,200,150,100,50
2023-09-30 19:00,154,111,63,0,300,200,150,100,50
2023-09-30 20:00,152,100,66,0,300,200,150,100,50
2023-09-30 21:00,147,76,65,0,300,200,150,100,50
2023-09-30 22:00,141,60,64,0,300,200,150,100,50
2023-09-30 23:00,139,56,64,0,300,200,150,100,50
2023-10-01 00:00,137,55,66,0,300,200,150,100,50
2023-10-01 01:00,151,55,69,0,300,200,150,100,50
2023-10-01 02:00,152,57,70,0,300,200,150,100,50
2023-10-01 03:00,151,58,71,0,300,200,150,100,50
2023-10-01 04:00,152,58,73,0,300,200,150,100,50
2023-10-01 05:00,153,59,75,0,300,200,150,100,50
2023-10-01 06:00,155,60,70,0,300,200,150,100,50
2023-10-01 07:00,157,63,69,0,300,200,150,100,50
2023-10-01 08:00,158,65,71,0,300,200,150,100,50
2023-10-01 09:00,157,68,70,0,300,200,150,100,50
2023-10-01 10:00,156,70,74,0,300,200,150,100,50
2023-10-01 11:00,154,73,70,0,300,200,150,100,50
2023-10-01 12:00,155,82,65,0,300,200,150,100,50
2023-10-01 13:00,160,94,66,0,300,200,150,100,50
2023-10-01 14:00,171,107,74,0,300,200,150,100,50
2023-10-01 15:00,157,94,84,0,300,200,150,100,50
2023-10-01 16:00,105,65,77,0,300,200,150,100,50
2023-10-01 17:00,79,52,63,0,300,200,150,100,50
2023-10-01 18:00,82,69,55,0,300,200,150,100,50
